"doi","publication_date","title","biod","citeulike","crossref","scopus","pubmed","researchblogging","nature","bloglines","postgenomic","facebook","twitter","wikipedia","scienceseeker","counter_html","counter_pdf","counter_xml","counter","pmc_html","pmc_pdf","pmc","mendeley_readers","mendeley_groups","mendeley","comments","comment_replies","trackbacks","f1000","article_type"
"10.1371/journal.pbio.0000012",2003-10-13,"Genome-Wide RNAi of <named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">C. elegans</named-content> Using the Hypersensitive <italic>rrf-3</italic> Strain Reveals Novel Gene Functions",0,8,141,310,136,0,0,0,0,0,0,0,0,19120,2376,142,21638,4638,2275,6913,71,0,71,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000013",2003-09-15,"<named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">Drosophila</named-content> Free-Running Rhythms Require Intercellular Communication",0,1,61,127,44,0,0,0,0,0,0,0,0,10441,1090,124,11655,1572,492,2064,49,0,49,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000014",2003-10-13,"Heterochromatin Dynamics",0,1,1,1,0,0,0,0,0,0,0,0,0,9307,510,104,9921,1087,386,1473,5,0,5,0,0,0,0,"Journal Club"
"10.1371/journal.pbio.0000015",2003-10-13,"Microarray Analysis",0,6,3,16,6,0,0,0,0,0,0,2,0,33062,3593,175,36830,1253,555,1808,75,0,75,0,0,0,0,"Primer"
"10.1371/journal.pbio.0000016",2003-10-13,"V(D)J Recombination and the Evolution of the Adaptive Immune System",0,1,14,18,9,0,0,0,0,2,0,9,0,23476,2755,184,26415,2508,914,3422,55,0,55,0,0,0,0,"Primer"
"10.1371/journal.pbio.0000017",2003-10-13,"Neuroscience Networks",0,2,9,0,9,0,0,0,0,0,6,0,0,20147,556,108,20811,1524,613,2137,4,0,4,0,0,0,0,"Essay"
"10.1371/journal.pbio.0000018",2003-10-13,"Digital Evolution",0,3,5,9,0,0,0,0,0,0,0,2,0,16159,671,113,16943,1616,665,2281,38,0,38,0,0,0,0,"Feature"
"10.1371/journal.pbio.0000019",2003-09-15,"From Gene Trees to Organismal Phylogeny in Prokaryotes:The Case of the ?-Proteobacteria",0,11,71,203,110,0,0,0,0,0,0,0,0,14287,2401,128,16816,2032,839,2871,1,0,1,0,0,0,3,"Research Article"
"10.1371/journal.pbio.0000020",2003-10-13,"Candidate Gene Association Study in Type 2 Diabetes Indicates a Role for Genes Involved in ?-Cell Function as Well as Insulin Action",0,1,78,156,40,0,0,0,0,0,0,0,0,19077,2499,151,21727,3718,1866,5584,55,0,55,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000021",2003-10-13,"Developmental Origin and Evolution of Bacteriocytes in the Aphidâ<named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">Buchnera</named-content> Symbiosis",0,1,28,54,26,1,0,0,0,0,0,0,0,7774,1038,103,8915,1643,470,2113,52,0,52,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000022",2003-11-17,"Beyond the Fire-Hazard Mentality of Medicine: The Ecology of Infectious Diseases",0,0,1,2,1,0,0,0,0,0,0,0,0,7628,685,83,8396,666,182,848,6,0,6,0,0,0,0,"Feature"
"10.1371/journal.pbio.0000023",2003-09-15,"Biological Clock Depends on Many Parts Working Together",0,0,0,0,0,0,0,0,0,0,0,0,0,7863,208,93,8164,1171,402,1573,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000024",2003-10-13,"Developmental Origins and Evolution of <named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">Buchnera</named-content> Host Cells",0,0,0,0,0,0,0,0,0,0,0,0,0,2968,142,89,3199,411,132,543,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000025",2003-11-17,"A Gain-Field Encoding of Limb Position and Velocity in the Internal Model of Arm Dynamics",0,1,14,50,20,0,0,0,0,0,0,0,0,4581,603,82,5266,617,281,898,55,0,55,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000026",2003-10-13,"Supersensitive Worms Reveal New Gene Functions",0,0,0,0,0,0,0,0,0,0,0,0,0,3595,62,86,3743,588,164,752,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000027",2003-10-13,"What Controls Variation in Human Skin Color?",0,0,25,36,9,0,0,0,1,0,1,6,0,82082,3179,295,85556,37316,1913,39229,84,0,84,0,0,0,0,"Unsolved Mystery"
"10.1371/journal.pbio.0000028",2003-11-17,"Partially Phosphorylated Pho4 Activates Transcription of a Subset of Phosphate-Responsive Genes",0,2,27,45,30,0,0,0,0,0,0,0,0,5042,638,79,5759,649,232,881,25,0,25,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000029",2003-12-22,"Structural Mechanism Shows How Transferrin Receptor Binds Multiple Ligands and Sheds Light on a Hereditary Iron Disease",0,0,0,0,0,0,0,0,0,0,0,0,0,3182,275,78,3535,503,92,595,1,0,1,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000030",2003-10-13,"Large-Scale Association Study Confirms Genetic Complexity Underlying Type 2 Diabetes",0,0,0,0,0,0,0,0,0,0,0,0,0,4927,231,88,5246,606,279,885,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000031",2003-09-15,"New Genomic Approach Predicts True Evolutionary History of Bacterial Genomes",0,0,0,0,0,0,0,0,0,0,0,0,0,4506,170,83,4759,744,211,955,2,0,2,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000032",2003-10-13,"Mathematical Modeling Predicts How Proteins Affect Cellular Communication",0,0,0,0,0,0,0,0,0,0,0,0,0,7046,338,85,7469,873,378,1251,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000033",2003-11-17,"Biochemical Characterization of DNA Damage Checkpoint Complexes: Clamp Loader and Clamp Complexes with Specificity for 5? Recessed DNA",0,0,59,166,83,0,0,0,0,0,0,0,0,8467,876,81,9424,1050,570,1620,27,0,27,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000034",2003-10-13,"<italic>PLoS Biology</italic>âWe're Open",0,3,0,3,2,0,0,0,0,0,0,1,0,12877,220,104,13201,2604,774,3378,2,0,2,0,0,0,0,"Editorial"
"10.1371/journal.pbio.0000035",2003-11-17,"The <italic>Drosophila</italic> Sterile-20 Kinase Slik Controls Cell Proliferation and Apoptosis during Imaginal Disc Development",0,0,11,24,9,0,0,0,0,0,0,0,0,6435,798,84,7317,820,493,1313,14,0,14,0,0,0,2,"Research Article"
"10.1371/journal.pbio.0000036",2003-10-13,"Why PLoS Became a Publisher",0,3,18,24,10,0,1,0,1,3,0,6,0,29733,918,207,30858,1915,580,2495,19,0,19,0,0,0,0,"Message from the Founders"
"10.1371/journal.pbio.0000037",2003-11-17,"Army Ants Trapped by Their Evolutionary History",0,1,0,0,0,0,0,0,0,0,0,6,0,17351,515,79,17945,14420,176,14596,33,0,33,0,0,0,0,"Journal Club"
"10.1371/journal.pbio.0000038",2003-11-17,"Patricia Goldman-Rakic",0,0,0,0,0,0,0,0,0,0,0,4,0,3262,125,71,3458,3089,128,3217,2,0,2,0,0,0,0,"Obituary"
"10.1371/journal.pbio.0000039",2003-11-17,"Genomics Research and Malaria Control: Great Expectations",0,0,0,0,2,0,0,0,0,0,0,0,0,8193,1049,80,9322,786,227,1013,10,0,10,0,0,0,0,"Essay"
"10.1371/journal.pbio.0000040",2003-11-17,"A Field Trip to the Mesozoic",0,0,0,0,0,0,0,0,0,0,0,0,0,4394,262,79,4735,474,48,522,8,0,8,0,0,0,0,"Book Review/Science in the Media"
"10.1371/journal.pbio.0000041",2003-11-17,"Embryonic Origins of a Motor System: Motor Dendrites Form a Myotopic Map in <italic>Drosophila</italic>",0,0,24,44,19,0,0,0,0,0,0,0,0,8087,1120,84,9291,948,350,1298,35,0,35,0,0,0,1,"Research Article"
"10.1371/journal.pbio.0000042",2003-10-13,"Learning to Control a BrainâMachine Interface for Reaching and Grasping by Primates",0,17,216,505,152,0,0,0,0,0,0,4,0,39304,7045,212,46561,3106,1403,4509,196,0,196,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000043",2003-11-17,"<italic>slik</italic> Gene Controls Cell Growth and Survival",0,0,0,0,0,0,0,0,0,0,0,0,0,2050,61,69,2180,490,41,531,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000044",2003-11-17,"Newly Sequenced Worm a Boon for Worm Biologists",0,0,0,0,0,0,0,0,0,0,0,1,0,4238,88,68,4394,197,30,227,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000045",2003-11-17,"The Genome Sequence of <italic>Caenorhabditis briggsae:</italic> A Platform for Comparative Genomics",0,23,167,431,261,0,0,0,2,0,0,13,0,40966,4333,190,45489,2906,1293,4199,148,0,148,0,0,0,4,"Research Article"
"10.1371/journal.pbio.0000046",2003-11-17,"Biodiversity Conservation Demands Open Access",0,2,0,2,1,0,0,0,0,0,0,0,0,5780,507,73,6360,434,102,536,37,0,37,0,0,0,0,"Community Page"
"10.1371/journal.pbio.0000047",2003-11-17,"A Single Protein in Yeast Can Fine-Tune an Environmental Response",0,0,0,0,0,0,0,0,0,0,0,0,0,1841,61,64,1966,500,38,538,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000048",2003-11-17,"Tough Mining",0,8,1,12,8,0,0,0,0,0,0,0,0,11411,500,104,12015,708,217,925,8,0,8,0,0,0,0,"Feature"
"10.1371/journal.pbio.0000049",2003-12-22,"A Wingless Flight",0,0,0,0,0,0,0,0,0,0,0,0,0,3552,289,77,3918,604,228,832,9,0,9,0,0,0,0,"Journal Club"
"10.1371/journal.pbio.0000050",2003-11-17,"Current Approaches to the Study of Movement Control",0,0,0,1,0,0,0,0,0,0,0,0,0,5437,472,78,5987,871,174,1045,1,0,1,0,0,0,0,"Primer"
"10.1371/journal.pbio.0000051",2003-12-22,"Mechanism for Multiple Ligand Recognition by the Human Transferrin Receptor",0,0,31,56,26,0,0,0,0,0,0,1,0,5820,756,73,6649,1046,468,1514,16,0,16,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000052",2003-11-17,"Additive Effects of PDGF Receptor ? Signaling Pathways in Vascular Smooth Muscle Cell Development",0,0,15,50,23,0,0,0,0,0,0,0,0,7644,1089,82,8815,1207,495,1702,14,0,14,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000053",2003-11-17,"T Cell Receptor-Independent Basal Signaling via Erk and Abl Kinases Suppresses <italic>RAG</italic> Gene Expression",0,1,18,46,21,0,0,0,0,0,0,1,0,9751,1058,93,10902,1227,500,1727,14,0,14,0,0,0,2,"Research Article"
"10.1371/journal.pbio.0000054",2003-11-17,"Novel âCheckpointâ Mechanism Mediates DNA Damage Responses",0,0,0,0,0,0,0,0,0,0,0,0,0,2685,131,64,2880,302,65,367,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000055",2003-10-13,"Retraining the Brain to Recover Movement",0,0,0,0,0,0,0,0,0,0,0,0,0,4805,190,67,5062,369,39,408,3,0,3,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000056",2003-11-17,"Underlying Principles of Motor System Organization Revealed",0,0,0,0,0,0,0,0,0,0,0,0,0,2935,144,68,3147,2226,74,2300,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000057",2003-11-17,"The What and Whys of DOIs",0,2,1,2,2,0,0,0,0,0,0,1,0,6812,234,81,7127,1978,84,2062,9,0,9,0,0,0,0,"Editorial"
"10.1371/journal.pbio.0000058",2003-11-17,"Comparative Genomics",0,14,40,117,36,0,0,0,0,0,0,5,0,33548,4550,143,38241,2009,832,2841,116,0,116,0,0,0,0,"Primer"
"10.1371/journal.pbio.0000059",2003-10-27,"Pten Dose Dictates Cancer Progression in the Prostate",0,1,144,256,111,0,0,0,0,0,0,0,0,12653,2771,114,15538,2304,1233,3537,42,0,42,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000060",2003-10-13,"Identification of <named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">Drosophila</named-content> MicroRNA Targets",0,11,224,395,177,0,0,0,0,0,0,1,0,20678,4427,112,25217,4507,2291,6798,80,0,80,0,0,0,3,"Research Article"
"10.1371/journal.pbio.0000061",2003-12-22,"New Screen Identifies Elusive MicroRNA Targets",0,0,0,0,0,0,0,0,0,0,0,0,0,3263,202,62,3527,637,260,897,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000062",2003-11-17,"Development of Vascular Smooth Muscle Cells Depends on Signaling Synergy",0,0,0,0,0,0,0,0,0,0,0,0,0,3830,156,69,4055,264,32,296,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000063",2003-11-17,"Basal Signaling Suppresses <italic>RAG</italic> Genes during T Cell Development",0,0,0,0,0,0,0,0,0,0,0,0,0,2246,95,70,2411,390,47,437,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000064",2003-11-17,"Computer Model Predicts How the Brain Controls Limb Dynamics",0,0,0,0,0,0,0,0,0,0,0,0,0,2297,107,65,2469,228,31,259,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000065",2003-12-22,"Detection and Characterizationof Cellular Immune Responses Using PeptideâMHC Microarrays",0,1,50,85,25,0,0,0,0,0,0,3,0,10877,1489,88,12454,1545,753,2298,9,0,9,0,0,0,1,"Research Article"
"10.1371/journal.pbio.0000066",2003-12-22,"The Virus That Changed My World",0,0,0,0,0,0,0,0,0,0,0,0,0,5117,263,70,5450,419,59,478,5,0,5,0,0,0,0,"Essay"
"10.1371/journal.pbio.0000067",2003-12-22,"Distinct Mechanisms Determine Transposon Inheritance and Methylation via Small Interfering RNA and Histone Modification",0,0,119,218,103,0,0,0,0,0,0,0,0,11624,2405,87,14116,2334,1406,3740,92,0,92,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000068",2003-11-03,"<italic>GAD2</italic> on Chromosome 10p12 Is a Candidate Gene for Human Obesity",0,0,35,77,17,0,0,0,0,0,0,0,0,7941,862,85,8888,1857,695,2552,6,0,6,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000069",2003-11-03,"Linkage of Osteoporosis to Chromosome 20p12 and Association to <italic>BMP2</italic>",0,2,97,140,30,0,0,0,0,0,0,0,0,6229,873,86,7188,1445,534,1979,19,0,19,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000070",2003-12-22,"Dose of <italic>PTEN</italic> Gene Drives Progression of Prostate Cancer",0,0,4,1,0,0,0,0,0,0,0,0,0,2159,190,61,2410,387,141,528,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000071",2003-12-22,"Research Advocacy: Why Every Scientist Should Participate",0,0,2,3,1,0,0,0,0,0,0,0,0,2880,161,67,3108,348,50,398,7,0,7,0,0,0,0,"Community Page"
"10.1371/journal.pbio.0000072",2003-12-22,"Architecture and Selectivity in Aquaporins: 2.5 Ã X-Ray Structure of Aquaporin Z",0,0,70,108,36,0,0,0,0,0,0,0,0,8762,1206,93,10061,1252,555,1807,16,0,16,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000073",2003-12-22,"Rose-Tinted Ecology",0,0,0,0,0,0,0,0,0,0,0,0,0,2483,227,69,2779,1019,30,1049,6,0,6,0,0,0,0,"Book Review/Science in the Media"
"10.1371/journal.pbio.0000074",2003-12-22,"Transcriptome Analysis of Mouse Stem Cells and Early Embryos",0,5,52,113,39,0,0,0,0,0,0,0,0,16320,2250,105,18675,2629,1541,4170,48,0,48,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000075",2003-12-22,"Structure of Aquaporin Reveals Mechanism for Transport Selectivity",0,0,0,0,0,0,0,0,0,0,0,0,0,4018,372,73,4463,1760,224,1984,1,0,1,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000076",2003-12-22,"New Microarray Detects Antigen-Specific T Cells and Immune Responses",0,0,0,0,0,0,0,0,0,0,0,0,0,2715,246,74,3035,331,85,416,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000077",2003-12-22,"Economy of the Mind",0,1,1,1,0,0,0,0,1,2,0,0,0,17248,858,113,18219,567,114,681,49,0,49,0,0,0,0,"Feature"
"10.1371/journal.pbio.0000078",2003-12-22,"Antigen-Specific T Cells: Analyses of the Needles in the Haystack",0,0,2,6,4,0,0,0,0,0,0,0,0,5314,456,83,5853,347,94,441,8,0,8,0,0,0,0,"Primer"
"10.1371/journal.pbio.0000079",2003-12-22,"How Mammals Acquire and Distribute Iron Needed for Oxygen-Based Metabolism",0,1,3,11,5,0,0,0,0,0,0,1,0,10516,622,102,11240,942,211,1153,13,0,13,0,0,0,0,"Primer"
"10.1371/journal.pbio.0000080",2003-12-22,"Tre1, a G Protein-Coupled Receptor, Directs Transepithelial Migration of <italic>Drosophila</italic> Germ Cells",0,0,26,50,14,0,0,0,0,0,0,0,0,6566,763,80,7409,1160,408,1568,18,0,18,0,0,0,3,"Research Article"
"10.1371/journal.pbio.0000081",2003-12-22,"<italic>GAD2</italic> Identified as Candidate Gene for Obesity",0,0,0,0,0,0,0,0,0,0,0,0,0,2815,215,67,3097,968,152,1120,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000082",2003-12-22,"Human Epigenome ProjectâUp and Running",0,0,7,24,9,0,0,0,0,0,0,3,0,13669,1919,119,15707,3610,582,4192,12,0,12,0,0,0,0,"Feature"
"10.1371/journal.pbio.0000083",2003-12-22,"Inhibition of HIF2? Is Sufficient to Suppress pVHL-Defective Tumor Growth",0,0,128,234,109,0,0,0,0,0,0,0,0,6580,1295,81,7956,1574,844,2418,0,0,0,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000084",2003-12-22,"Distinct Mechanisms Control Transposon Inheritance through Overlapping Pathways",0,0,0,0,0,0,0,0,0,0,0,0,0,3276,245,74,3595,352,55,407,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000085",2003-12-22,"Chromosome Locus and Candidate Gene for Osteoporosis Identified",0,0,0,0,0,0,0,0,0,0,0,0,0,2065,121,63,2249,300,58,358,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000086",2003-12-22,"How Are the Sizes of Cells, Organs, and Bodies Controlled?",0,2,12,17,5,0,0,0,0,0,0,0,0,16262,1176,85,17523,2173,465,2638,9,0,9,0,0,0,0,"Unsolved Mystery"
"10.1371/journal.pbio.0000087",2003-12-22,"Gene Expression Profile Created for Mouse Stem Cells and Developing Embryo",0,0,0,0,0,0,0,0,0,0,0,0,0,3052,279,66,3397,268,82,350,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000088",2003-12-22,"Novel Receptor Guides Germ Cell Transepithelial Migration in <named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">Drosophila</named-content>",0,0,0,0,0,0,0,0,0,0,0,0,0,1384,118,64,1566,228,37,265,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000089",2003-12-22,"A Changing Landscape",0,0,0,0,0,0,0,0,0,0,0,0,0,3613,211,72,3896,313,51,364,24,0,24,0,0,0,0,"Editorial"
"10.1371/journal.pbio.0000090",2003-12-22,"Inhibition of HIF2? Protein Suppresses pVHL-Driven Tumor Growth",0,0,0,0,0,0,0,0,0,0,0,0,0,1224,105,60,1389,294,53,347,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000091",2003-12-22,"Correction: What Controls Variation in Human Skin Color?",0,0,0,0,0,0,0,0,0,0,0,0,0,2676,178,79,2933,585,46,631,0,0,0,0,0,0,0,"Correction"
"10.1371/journal.pbio.0000092",2003-12-22,"Correction: Candidate Gene Association Study in Type 2 Diabetes Indicates a Role for Genes Involved in ?-Cell Function as Well as Insulin Action",0,0,0,0,0,0,0,0,0,0,0,0,0,1428,127,70,1625,140,15,155,0,0,0,0,0,0,0,"Correction"
"10.1371/journal.pbio.0020001",2004-01-20,"Science on the Rise in Developing Countries",0,3,39,28,0,0,0,0,0,8,0,0,0,12573,655,62,13290,559,116,675,38,0,38,0,0,0,0,"Essay"
"10.1371/journal.pbio.0020002",2003-11-24,"JAMM: A Metalloprotease-Like Zinc Site in the Proteasome and Signalosome",0,0,41,84,43,0,0,0,0,0,0,3,0,7864,1081,56,9001,1263,563,1826,24,0,24,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0020003",2004-01-20,"Dorsoventral Patterning of the Mouse Coat by <italic>Tbx15</italic>",0,0,33,36,13,0,0,0,0,0,0,0,0,5080,583,64,5727,965,333,1298,10,0,10,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0020004",2004-01-20,"Cell-Passage Activity Is Required for the Malarial Parasite to Cross the Liver Sinusoidal Cell Layer",0,0,67,96,34,0,0,0,0,0,0,0,0,7335,883,71,8289,1023,515,1538,27,0,27,0,0,0,1,"Research Article"
"10.1371/journal.pbio.0020005",2004-01-20,"Loss of Olfactory Receptor Genes Coincides with the Acquisition of Full Trichromatic Vision in Primates",0,2,90,143,51,0,0,0,0,0,1,6,0,18969,2499,118,21586,1665,532,2197,107,0,107,0,0,0,2,"Research Article"
"10.1371/journal.pbio.0020006",2004-01-20,"HIV-1 Nef Binds the DOCK2âELMO1 Complex to Activate Rac and Inhibit Lymphocyte Chemotaxis",0,0,25,59,28,0,0,0,0,0,0,3,0,5733,662,61,6456,1058,421,1479,14,0,14,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0020007",2004-01-13,"Gene Expression Signature of Fibroblast Serum Response Predicts Human Cancer Progression: Similarities between Tumors and Wounds",0,3,189,398,198,0,0,0,0,0,0,2,0,27683,4557,141,32381,3701,2223,5924,0,0,0,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0020008",2004-01-20,"Contribution of Noncentrosomal Microtubules to Spindle Assembly in <italic>Drosophila</italic> Spermatocytes",0,0,20,43,20,0,0,0,0,0,0,0,0,6520,573,66,7159,667,216,883,10,0,10,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0020009",2003-12-15,"Similarities and Differences in Genome-Wide Expression Data of Six Organisms",0,17,68,146,94,0,0,0,0,0,0,0,0,18700,2165,83,20948,1502,931,2433,70,0,70,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0020010",2004-01-20,"Looking from the Past to the Future",0,0,3,0,0,0,0,0,0,0,0,1,0,2560,79,56,2695,126,37,163,9,0,9,0,0,0,0,"Book Review/Science in the Media"
"10.1371/journal.pbio.0020011",2004-01-20,"Science and Technology Communication for Development",0,0,0,0,0,0,0,0,0,0,0,0,0,5491,186,59,5736,4103,82,4185,9,0,9,0,0,0,0,"Community Page"
"10.1371/journal.pbio.0020012",2004-01-20,"In Methuselah's Mould",0,0,1,0,0,0,0,0,0,20,1,3,0,10937,480,76,11493,1019,116,1135,6,0,6,0,0,0,0,"Feature"
"10.1371/journal.pbio.0020013",2004-01-20,"The Proteasome and the Delicate Balance between Destruction and Rescue",0,1,13,27,8,0,0,0,0,0,0,5,0,10024,1234,71,11329,681,324,1005,10,0,10,0,0,0,0,"Primer"
"10.1371/journal.pbio.0020014",2004-01-20,"Protein Interaction Networks by Proteome Peptide Scanning",0,5,67,114,42,0,0,0,1,0,0,0,0,9347,1566,67,10980,1496,1009,2505,54,0,54,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0020015",2003-12-15,"Multiple Apoptotic Caspase Cascades Are Required in Nonapoptotic Roles for <italic>Drosophila</italic> Spermatid Individualization",0,2,47,83,35,0,0,0,0,0,0,0,0,6598,864,59,7521,1035,421,1456,70,0,70,0,0,0,2,"Research Article"
"10.1371/journal.pbio.0020016",2004-01-20,"A New Gene That Shapes Mouse Pigmentation Patterning",0,0,0,0,0,0,0,0,0,0,0,0,0,1847,91,42,1980,206,35,241,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0020017",2003-11-24,"Structure and Implications of JAMM, a Novel Metalloprotease",0,0,0,1,0,0,0,0,0,0,0,0,0,2178,131,49,2358,249,51,300,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0020018",2003-12-15,"A Truly Broad View of Gene Expression Spotlights Evolution and Diversity",0,1,1,0,0,0,0,0,0,0,0,0,0,2401,91,49,2541,179,48,227,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0020019",2004-01-20,"Channelling Evolution",0,1,2,3,2,0,0,0,0,0,0,0,0,6751,486,49,7286,497,113,610,9,0,9,0,0,0,0,"Journal Club"
